עכו,Akko
עפולה,Afula
ערד,Arad
אריאל,Ariel
אשדוד,Ashdod
אשקלון,Ashkelon
באקה-ג'ת,Baqa-Jatt
בת ים,Bat Yam
באר שבע,Beersheba
בית שאן,Beit She'an
בית שמש,Beit Shemesh
ביתר עילית,Beitar Illit
בני ברק,Bnei Brak
דימונה,Dimona
אילת,Eilat
אלעד,El'ad
גבעתיים,Giv'atayim
גבעת שמואל,Giv'at Shmuel
חדרה,Hadera
חיפה,Haifa
הרצליה,Herzliya
הוד השרון,Hod HaSharon
חולון,Holon
ירושלים,Jerusalem
כרמיאל,Karmiel
כפר קאסם,Kafr Kasim
כפר סבא,Kfar Saba
קריית אתא,Kiryat Ata
קריית ביאליק,Kiryat Bialik
קריית גת,Kiryat Gat
קריית מלאכי,Kiryat Malakhi
קריית מוצקין,Kiryat Motzkin
קריית אונו,Kiryat Ono
קריית שמונה,Kiryat Shmona
קריית ים,Kiryat Yam
לוד,Lod
מעלה אדומים,Ma'ale Adumim
מעלות-תרשיחא,Ma'alot-Tarshiha
מגדל העמק,Migdal HaEmek
מודיעין עילית,Modi'in Illit
מודיעין-מכבים-רעות,Modi'in-Maccabim-Re'ut
נהריה,Nahariya
נצרת,Nazareth
נצרת עילית,Nazareth Illit
נשר,Nesher
נס ציונה,Ness Ziona
נתניה,Netanya
נתיבות,Netivot
אופקים,Ofakim
אור עקיבא,Or Akiva
אור יהודה,Or Yehuda
פתח תקווה,Petah Tikva
קלנסווה,Kalanswa
רעננה,Ra'anana
רהט,Rahat
רמת גן,Ramat Gan
רמת השרון,Ramat HaSharon
רמלה,Ramla
רחובות,Rehovot
ראשון לציון,Rishon LeZion
ראש העין,Rosh HaAyin
צפת,Safed
סח'נין,Sakhnin
שדרות,Sderot
שפרעם,Shefa-'Amr
טמרה,Tamra
טייבה,Tayibe
תל אביב,Tel Aviv
טבריה,Tiberias
טירה,Tira
טירת כרמל,Tirat Carmel
אום אל-פחם,Umm al-Fahm
יבנה,Yavne
יהוד-מונוסון,Yehud-Monosson
יקנעם,Yokneam
