ཞབས་རྗེས་ཐང་,zhabjethang
དུར་ལུ་སི་བི་,dhurlusibee
ཐང་སྦི་,thangbi
ཀ་ཤིང་རྩ་བ་,kashingtsawa
གཏམ་ཞིང་,tamshing
རྒྱལ་རྩ་,gyaltsa
དོམ་མཁར་,domkhar
ཕུར་བྱོན་,phurjoen
ཟུང་ངས་,zungngae
ཅུང་འཕེལ་,chungphel
རྟ་མཁྲི་སྒང་,tadingang
ཁང་རབས་,khangrab
ཉི་མ་ལུང་,nyimalung
མདའ་ཟུར་,dazur
ཀུན་བཟང་བྲག་,kuenzangdrag
སུམ་ཕྲང་,sumthrang
སྟངས་སི་སྦི་,tangsibi
ཤིང་གཉེར་,shingnyer
ཨུ་ར་མདོ་བཞི་,uradozhi
ཤིང་མཁར་,singkhar
བརྩི་མ་གཤམ་,tsimasham
མེ་སྦི་ས་,mebisa
བཀྲིས་དགའ་ཚལ་,tashigatshel
ལྦང་ཁ་,wangkha
རྟོག་རྟོ་གོངམ་,togtogongm
ཆཱ་སི་ལ་ཁ་,chhasilakha
མི་རི་རྩེ་མོ་,miritsemo
སྐད་ལྟོག་ཁ་,ketogkha
ཕ་སུ་མ་,phasuma
སྦས་ཡུལ་ཀུན་བཟང་,baeyuelkunzang
སྤག་དགའ་,pagga
མཚམས་བྲག་,tshamdrag
ཤེལ་ཡུལ་,shelyuel
རིམ་སྟེ་ཁ་,rimtekha
གླང་ཉལ་ས་,langnyelsa
སྦུ་ན་ཁ་,bunakha
སྟབས་ཇི་,tabji
ཡ་སྒང་,yagang
སིན་ཅུ་ལ་,sinchula
སྐལ་བཟང་རི་,kalzangri
ཤར་ཕུག་,sharphug
པ་པ་གླིང་,papaling
དམངས་རྡོ་ཁ་,mangdokha
དཔག་སེལ་ལྷ་ཁ་,pagsellhakha
ཁོ་རི་,khori
གཡུས་བཞི་,uezhi
གཙང་ལི་ན་,tsanglina
སོར་ཅན་,sorchhen
ན་ཡེ་ཁ་,nayekha
ལམ་འགྱོ་ཁ་,lamjokha
ཚེབ་སྦྱི་,tshebji
བཀྲིས་སྒང་,tashigang
ཕུ་ཚ་,phutsha
གད་སྟག་ན་,getana
གད་སྟག་,getag
དམ་ཆེ་ཁ་,damchekha
བྱག་ཆུ་,bjagchhu
རྡོ་ཕཱམ་,dofam
ཛེ་རྡོ་ཁ་,dzedokha
ལྷ་གསརཔ་,lhasarp
སྤང་འགུ་,pangu
སྨད་བཏབ་སྨད་,maedtabmaed
གཡུས་ཁ་,uekha
བསྟན་ཆུ་ཁ་,tenchhukha
གླིང་ལྡན་,lingdaen
སྤ་ཆུ་,pachhu
དབང་འདུས་དགའ་ཚལ་,wangduegatshel
དམརཔ་སྦྱིས་,marpji
རྡོ་ཕུ་ལ་ཁ་,dophulakha
རིག་འཟིན་གླིང་,rigzingling
མཚོ་ཆུང་ན་,tshochhungna
བསོད་ནམས་ཐང་,sonamthang
སྤང་ན་,pangna
པད་ཚལ་ནང་,pedtshelnang
དམའ་མེད་ཐང་,maamedthang
ཉིམ་ཏོ་ལ་,nyimtola
རྡོ་རོ་ན་ཆུང་བ་,doronachhongwa
རྡོ་རོ་ན་ཆེ་བ་,doronachhewa
ཚྭ་ལམ་སྦྱིས་,tshalamji
པ་ཏ་ལ་,patala
ཐང་ན་,thangna
སྤང་སེར་པོ་,pangserpo
རྟ་རྒྱུགས་,tajug
བསམ་རྟན་སྒང་,samtengang
གེ་སར་གླིང་,gesarling
སྤུན་སུམ་སྒང་,phuensumgang
བཀྲིས་ཐང་,tashithang
སྦ་ལེགས་སྒང་,baleggang
རྡོ་འགག་,dogaag
སྒོ་བཞི་,gozhi
སྒོ་བཞི་སྨད་,gozhimaed
སྒོ་བཞི་སྟོད་,gozhitoed
ལྷ་གླིང་,lhaling
སྤང་གཞི་,purgzhi
ཁ་སྒོ་ཅན་,khagochen
རྣམ་རྒྱལ་སྒང་,namgyalgang
རྒྱུ་རུ་སྒང་,jurugang
ཀརྨ་གླིང་,karmaling
ཨོམ་ཆུ་,omchhu
ལབ་རྩ་ཁ་,labtsakha
སྲན་ཅུམ་ཐང་,senchumthang
བྱེ་མ་ཐང་,jemathang
སྤོག་ཏོག་,pogtog
དཔག་གསེར་,pagser
ཨ་ཁོ་ཅན་,akhochen
མཐོངམ་སྒང་,thomgang
གྱིབ་ས་,gibsa
བ་ལུང་,balung
ཐ་ས་,thasa
སྐོན་པ་,kompa
བར་ན་,barna
སྲིད་པ་,sidpa
མཚམས་བཞི་བགོ་ས་,tshaemzhigosa
སྐྱོངས་བསམ་གླིང་,chongsamling
ལྷ་མོའི་རྫིང་ཁ་,lhamoidzingkha
རླུང་བསིལ་ས་,lungsilsa
ཀུན་འབྲལ་ཐང་,kuendrelthang
བྲམ་ཟེ་སྐྱེས་ས་,dramzekesa
ཡར་འཕེལ་གླིང་,yarpheling
དམ་ཆུ་ནང་,damchhunang
སྒང་ཏོག་ཁ་,gangtogkha
བཀྲིས་ལྡིང་,tashiding
གནམ་ལྕགས་ལ་,namchagla
ནོར་བུ་གླིང་,norbuling
སྒང་རྒྱབ་,gangjab
དགེ་ལེགས་ཆུ་,gelegchhu
གཙང་ཁ་,tsangkha
ཟིན་ཅི་ལ་,zinchila
གུང་པ་སུམ་ཅུ་,gungpasumchu
བཙན་མདའ་སྒང་,tsendagang
སྒང་ཟུར་སྟོད་,gangzurmaed
སྒང་ཟུར་སྨད་,gangzurtoed
ནོར་བུ་ཞིང་ཁ་,norbuzingkha
ས་མར་ཆུ་,samarchu
དཔལ་གླིང་,pelling
ས་སྨད་,samaed
དཀར་གླིང་རྗིང་ཁ་,karlingzingkha
བཟོ་མི་ན་,zomina
རྒྱ་སྦིས་ས་,jabisa
དྭངསམ་སྦྱིས་,damji
སྤ་ནི་སྐོང་,panikong
ལྟར་ཤིང་ཐང་,tashithang
ཕུ་ལ་ཁ་,phulakha
མ་ནི་,mani
ཚདཔ་སྒང་,tshedpgang
ཚེ་རིང་ཁ་,tsheringkha
རི་མི་,rimi
ལུང་སྒོ་,lunggo
ལུབ་ལྕགས་,lubcha
པ་གཞི་,pazhi
སྟོད་སྐོར་,toedkor
དབུས་ས་ནང་,uesana
ལྷད་དི་,lhedi
མཚོ་གཞོང་,tshozhong
བསྟན་བཅོས་,toenchoe
བྱམས་དགོན་,jamgoen
རྟ་ལུང་,talung
ཡངས་ཐང་,yangthang
ཡང་རྩེ་,yangtse
ཡོ་ཁ་,yokha
ཐང་རྡོ་ཁ་,thangdokha
ང་རྩེ་,ngatse
སེར་ཏེ་ན་,sertena
མོམ་སྦི་མཚོ་ཁ་,mombitshokha
འ་ཏམ་,hatam
