板橋,Panchiao
三重,Sanchung
中和,Chungho
永和,Yungho
新莊,Hsinchuang
新店,Hsintien
樹林,Shulin
鶯歌,Yingko
三峽,Sanhsia
淡水,Tanshui
汐止,Hsichih
瑞芳,Juifang
土城,Tucheng
蘆洲,Luchou
五股,Wuku
泰山,Taishan
林口,Linkou
深坑,Shenkeng
石碇,Tanting
坪林,Pinglin
三芝,Sanchih
石門,Tanmen
八里,Pali
平溪,Pingchi
雙溪,Shuangchi
貢寮,Kungliao
金山,Chinshan
萬里,Wanli
烏來,Wulai
松山,Sungshan
信義,Hsin-i
大安,Ta-an
中山,Chungshan
中正,Chungcheng
大同,Tatung
萬華,Wanhua
文山,Wenshan
南港,Nankang
內湖,Neihu
士林,Shihlin
北投,Peitou
桃園,Taoyuan
中壢,Chungli
大溪,Tachi
楊梅,Yangmei
蘆竹,Luchu
大園,Tayuan
龜山,Kueishan
八德,Pate
龍潭,Lungtan
平鎮,Pingchen
新屋,Hsinwu
觀音,Kuanyin
復興,Fuhsing
中,Chung
東,Tung
南,Nan
西,Hsi
北,Pei
西屯,Hsitun
南屯,Nantun
北屯,Peitun
豐原,Fengyuan
東勢,Tungshih
大甲,Tachia
清水,Chingshui
沙鹿,Shalu
梧棲,Wuchi
后里,Houli
神岡,Shenkang
潭子,Tantzu
大雅,Taya
新社,Hsinshe
石岡,Tankang
外埔,Waipu
烏日,Wujih
大肚,Tatu
龍井,Lungching
霧峰,Wufeng
太平,Taiping
大里,Tali
和平,Hoping
新營,Hsinying
鹽水,Yenshui
白河,Paiho
柳營,Liuying
後壁,Houpi
東山,Tungshan
麻豆,Matou
下營,Hsiaying
六甲,Liuchia
官田,Kuantien
大內,Tanei
佳里,Chiali
學甲,Hsuehchia
西港,Hsikang
七股,Chiku
將軍,Chiangchun
北門,Peimen
新化,Hsinhua
善化,Shanhua
新市,Hsinshih
安定,Anting
山上,Shanshang
玉井,Yuching
楠西,Nanhsi
南化,Nanhua
左鎮,Tsochen
仁德,Jente
歸仁,Kueijen
關廟,Kuanmiao
龍崎,Lungchi
永康,Yungkang
安南,Annan
安平,Anping
中西,Chunghsi
鹽埕,Yencheng
鼓山,Kushan
左營,Tsoying
楠梓,Nantzu
三民,Sanmin
新興,Hsinhsing
前金,Chienchin
苓雅,Lingya
前鎮,Chienchen
旗津,Chichin
小港,Hsiaokang
鳳山,Fengshan
林園,Linyuan
大寮,Taliao
大樹,Tashu
大社,Tashe
仁武,Jenwu
鳥松,Niaosung
岡山,Kangshan
橋頭,Chiaotou
燕巢,Yenchao
田寮,Tienliao
阿蓮,Alien
路竹,Luchu
湖內,Hunei
茄萣,Chiehting
永安,Yung-an
彌陀,Mito
梓官,Tzukuan
旗山,Chishan
美濃,Meinung
六龜,Liukuei
甲仙,Chiahsien
杉林,Shalin
內門,Neimen
茂林,Maolin
桃源,Taoyuan
那瑪夏,Namahsia
宜蘭,Ilan
羅東,Lotung
蘇澳,Su-ao
頭城,Toucheng
礁溪,Chiaochi
壯圍,Chuangwei
員山,Yuanshan
冬山,Tungshan
五結,Wuchieh
三星,Sanhsing
