ཞབས་རྗེས་ཐང་,zhabs rjes thang
དུར་ལུ་སི་བི་,dur lu si bi
ཐང་སྦི་,thang sbi
ཀ་ཤིང་རྩ་བ་,ka shing rtsa ba
གཏམ་ཞིང་,gtam zhing
རྒྱལ་རྩ་,rgyal rtsa
དོམ་མཁར་,dom mkhar
ཕུར་བྱོན་,phur byon
ཟུང་ངས་,zung ngas
ཅུང་འཕེལ་,cung 'phel
རྟ་མཁྲི་སྒང་,rta mkhri sgang
ཁང་རབས་,khang rabs
ཉི་མ་ལུང་,nyi ma lung
མདའ་ཟུར་,mda' zur
ཀུན་བཟང་བྲག་,kun bzang brag
སུམ་ཕྲང་,sum phrang
སྟངས་སི་སྦི་,stangs si sbi
ཤིང་གཉེར་,shing gnyer
ཨུ་ར་མདོ་བཞི་,u ra mdo bzhi
ཤིང་མཁར་,shing mkhar
བརྩི་མ་གཤམ་,brtsi ma gsham
མེ་སྦི་ས་,me sbi sa
བཀྲིས་དགའ་ཚལ་,bkris dga' tshal
ལྦང་ཁ་,lbang kha
རྟོག་རྟོ་གོངམ་,rtog rto gongam
ཆཱ་སི་ལ་ཁ་,chA si la kha
མི་རི་རྩེ་མོ་,mi ri rtse mo
སྐད་ལྟོག་ཁ་,skad ltog kha
ཕ་སུ་མ་,pha su ma
སྦས་ཡུལ་ཀུན་བཟང་,sbas yul kun bzang
སྤག་དགའ་,spag dga'
མཚམས་བྲག་,mtshams brag
ཤེལ་ཡུལ་,shel yul
རིམ་སྟེ་ཁ་,rim ste kha
གླང་ཉལ་ས་,glang nyal sa
སྦུ་ན་ཁ་,sbu na kha
སྟབས་ཇི་,stabs ji
ཡ་སྒང་,ya sgang
སིན་ཅུ་ལ་,sin cu la
སྐལ་བཟང་རི་,skal bzang ri
ཤར་ཕུག་,shar phug
པ་པ་གླིང་,pa pa gling
དམངས་རྡོ་ཁ་,dmangs rdo kha
དཔག་སེལ་ལྷ་ཁ་,dpag sel lha kha
ཁོ་རི་,kho ri
གཡུས་བཞི་,g.yus bzhi
གཙང་ལི་ན་,gtsang li na
སོར་ཅན་,sor can
ན་ཡེ་ཁ་,na ye kha
ལམ་འགྱོ་ཁ་,lam 'gyo kha
ཚེབ་སྦྱི་,tsheb sbyi
བཀྲིས་སྒང་,bkris sgang
ཕུ་ཚ་,phu tsha
གད་སྟག་ན་,gad stag na
གད་སྟག་,gad stag
དམ་ཆེ་ཁ་,dam che kha
བྱག་ཆུ་,byag chu
